no ogrn;info@torins.ru;+7 (800) 250-47-60;"""Веб-регистратура.ру""
                                            <span>ООО</span>";ул. Телевизорная, д.4Г, офис 308, Красноярск, 660036;http://web-registratura.ru/;https://www.orgpage.ru/krasnoyarsk/veb-832461.html
no ogrn;no emails;+7 (391) 224-78-26;Городская детская поликлиника №3;Металлургов проспект, 14в, Красноярск, 660037;http://www.web-registratura.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029519.html
no ogrn;no emails;+7 (3919) 224260;Детская поликлиника №2;Бегичева, 24а, Норильск, 663319;"http://web-registratura.ru/index.php?open=system/record&amp;step=2&amp;mode=1&amp;cid=37";https://www.orgpage.ru/norilsk/detskaya-poliklinika-2-detskaya-2367954.html
1022401627742;ngp3@inbox.ru;+7 (3919) 390838;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""НОРИЛЬСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №3""";Россия, Красноярский край, Норильск г, Надеждинская ул, 15;  https://www.rusprofile.ru/id/3515192,http://www.msch3.ru,http://bus.gov.ru/pub/info-card/123018;https://www.orgpage.ru/norilsk/kgbuz-norilskaya-gp-3-5527798.html
1022402061220;muzgp12@yandex.ru;+7 (3912) 371214;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 12""";Россия, Красноярский край, Красноярск г, им газеты Красноярский Рабочий пр-кт, 50;  https://www.rusprofile.ru/id/849943,http://www.gp12.web-registratura.ru,http://bus.gov.ru/pub/info-card/96130;https://www.orgpage.ru/krasnoyarsk/kgbuz-kgp-12-5528339.html
1022401799023;econom@krasgp7.ru;+7 (3912) 213684;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 7""";Россия, Красноярский край, Красноярск г, Бограда ул, 93;  https://www.rusprofile.ru/id/4460495,http://www.krasgp7.ru/,http://bus.gov.ru/pub/info-card/73228;https://www.orgpage.ru/krasnoyarsk/kgbuz-kgp-7-5529114.html
1022402661214;priemkrasmp5@mail.ru;+7 (3912) 270557;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКАЯ МЕЖРАЙОННАЯ ПОЛИКЛИНИКА № 5""";Россия, Красноярский край, Красноярск г, Мира пр-кт, ДОМ 46;  https://www.rusprofile.ru/id/3594002,http://gb1kras.kfoms.ru,http://bus.gov.ru/pub/info-card/36304;https://www.orgpage.ru/krasnoyarsk/kgbuz-kmp-5-5530755.html
1022401625531;gp1priem@yandex.ru;+7 (3919) 345317;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""НОРИЛЬСКАЯ МЕЖРАЙОННАЯ ПОЛИКЛИНИКА № 1""";Россия, Красноярский край, Норильск г, Талнахская ул, 76;  https://www.rusprofile.ru/id/2176450,http://www.nmp1.ru,http://bus.gov.ru/pub/info-card/125709;https://www.orgpage.ru/norilsk/kgbuz-norilskaya-mp-1-5531285.html
1022402484598;gdp3pol@gmail.com;+7 (3912) 248855;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКАЯ ГОРОДСКАЯ ДЕТСКАЯ ПОЛИКЛИНИКА № 3""";Россия, Красноярский край, Красноярск г, Писателя Н.Устиновича ул, 1А;  https://www.rusprofile.ru/id/1886463,http://gdp3.info,http://bus.gov.ru/pub/info-card/57024;https://www.orgpage.ru/krasnoyarsk/kgbuz-kgdp-3-5531672.html
1022402142894;gp_4@mail.ru;+7 (3912) 477825;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 4""";Россия, Красноярский край, Красноярск г, Курчатова ул, ДОМ 17/СТРОЕНИЕ 5;  https://www.rusprofile.ru/id/824106,http://pk4.sibmedport.ru,http://bus.gov.ru/pub/info-card/129102;https://www.orgpage.ru/krasnoyarsk/kgbuz-kgp-4-5532391.html
1032401994349;gp1@gp1.krasnoyarsk.ru;+7 (3912) 626041;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКАЯ МЕЖРАЙОННАЯ ПОЛИКЛИНИКА № 1""";Россия, Красноярский край, Красноярск г, Академика Павлова ул, 4/СТРОЕНИЕ 7;  https://www.rusprofile.ru/id/1744536,http://www.pk1.sibmedport.ru,http://bus.gov.ru/pub/info-card/23931;https://www.orgpage.ru/krasnoyarsk/kgbuz-kmp-1-5534253.html
1022402663337;gdp1-econ@mail.ru;+7 (3912) 121179;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКАЯ ГОРОДСКАЯ ДЕТСКАЯ ПОЛИКЛИНИКА № 1""";Россия, Красноярский край, Красноярск г, Марковского ул, 49;  https://www.rusprofile.ru/id/1753219,http://gdp1krsk.kfoms.ru,http://bus.gov.ru/pub/info-card/78621;https://www.orgpage.ru/krasnoyarsk/kgbuz-kgdp-1-5534374.html
1022402062088;gp6.ekonom@mail.ru;+7 (3912) 669519;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 6""";Россия, Красноярский край, Красноярск г, Волжская ул, ДОМ 19;  https://www.rusprofile.ru/id/1036635,http://kgp6.web-registratura.ru,http://bus.gov.ru/pub/info-card/8941;https://www.orgpage.ru/krasnoyarsk/kgbuz-kgp-6-5534785.html
no ogrn;no emails;+7 (3919) 400600;Норильская городская поликлиника №2;Федоровского, 13, Норильск, 663330;" http://web-registratura.ru/index.php?open=system/record&amp;amp;step=2&amp;amp;mode=1&amp;amp;cid=320,http://гп2норильск.рф";https://www.orgpage.ru/norilsk/norilskaya-gorodskaya-5869907.html
no ogrn;no emails;+7 (3919) 400600;Норильская городская поликлиника №2;Маслова, 5, Норильск, 663330;" http://web-registratura.ru/index.php?open=system/record&amp;amp;step=2&amp;amp;mode=1&amp;amp;cid=320,http://гп2норильск.рф";https://www.orgpage.ru/norilsk/norilskaya-gorodskaya-6023403.html
no ogrn;no emails;+7 (3919) 424861;Медико-санитарная часть №24 Федеральной службы исполнения наказаний, ФКУЗ;Советская, 1, Норильск, 663302;no saits;https://www.orgpage.ru/norilsk/medikosanitarnaya-chast-24-5870006.html
no ogrn;no emails;+7 (3919) 390838;Норильская городская поликлиника №3, район Кайеркан, Стоматологическое отделение;Надеждинская, 11, Норильск, 663340;" http://www.msch3.ru,http://web-registratura.ru/index.php?open=system/record&amp;step=2&amp;mode=1&amp;cid=331";https://www.orgpage.ru/norilsk/norilskaya-gorodskaya-2370075.html
no ogrn;no emails;+7 (3919) 373751;Детская поликлиника;Федоровского, 13, Норильск;"http://web-registratura.ru/index.php?open=system/record&amp;step=2&amp;mode=1&amp;cid=32";https://www.orgpage.ru/norilsk/detskaya-poliklinika-gorodskaya-2370079.html
no ogrn;no emails;+7 (3919) 466484;Поликлиника №4, Городская поликлиника №1;Кирова, 19, Норильск, 663305;"http://web-registratura.ru/index.php?open=system/record&amp;step=2&amp;mode=1&amp;cid=31";https://www.orgpage.ru/norilsk/poliklinika-4-gorodskaya-2370054.html
no ogrn;no emails;+7 (3919) 372741;Поликлиника взрослая, Городская поликлиника №2;Маслова, 7, Норильск, 663330;"http://web-registratura.ru/index.php?open=system/record&amp;step=2&amp;mode=1&amp;cid=32";https://www.orgpage.ru/norilsk/poliklinika-vzroslaya-gorodskaya-2370059.html
no ogrn;no emails;+7 (3919) 227689;Норильская межрайонная поликлиника №1;Котульского проезд, 4, Норильск, 663319;http://нмп1.рф;https://www.orgpage.ru/norilsk/norilskaya-mezhrayonnaya-5812824.html
no ogrn;no emails;+7 (391) 224-39-50;Городская поликлиника №14, Филиал №3;Партизана Железняка, 30, Красноярск, 660022;http://gp14.krasgmu.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-poliklinika-14-filial-2029053.html
no ogrn;no emails;+7 (391) 224-39-50;Городская поликлиника №14, Филиал №1;Тельмана, 14а, Красноярск, 660055;http://gp14.krasgmu.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-poliklinika-14-filial-2029168.html
no ogrn;no emails;no phone;Красноярская межрайонная поликлиника №1;Затонская, 5г, Красноярск, 660025;http://www.pk1.sibmedport.ru;https://www.orgpage.ru/krasnoyarsk/krasnoyarskaya-mezhrayonnaya-2029197.html
no ogrn;no emails;+7 (391) 290-52-50;Поликлиника, Больница Краевого научного центра СО РАН;Академгородок, 15а, Красноярск, 660011;http://www.web-registratura.ru;https://www.orgpage.ru/krasnoyarsk/poliklinika-bolnitsa-kraevogo-1994242.html
no ogrn;no emails;+7 (391) 269-00-02;Поликлиника №3, Красноярская межрайонная больница №3;Судостроительная, 56, Красноярск, 660012;http://www.web-registratura.ru;https://www.orgpage.ru/krasnoyarsk/poliklinika-3-krasnoyarskaya-1994296.html
no ogrn;no emails;+7 (391) 234-03-57;Детская поликлиника №2;60 лет образования СССР проспект, 47, Красноярск, 660132;no saits;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-2-1994314.html
no ogrn;no emails;+7 (391) 221-05-20;Детская поликлиника №4;Ломоносова, 47 к7, Красноярск, 660058;no saits;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-4-1994322.html
no ogrn;no emails;+7 (391) 264-82-80;Поликлиника №2, Красноярская межрайонная больница №5;26 Бакинских Комиссаров, 4, Красноярск, 660004;http://веб-регистратура.рф/;https://www.orgpage.ru/krasnoyarsk/poliklinika-2-krasnoyarskaya-1994364.html
no ogrn;no emails;+7 (391) 201-26-91;Детская поликлиника №2;Западная (Кировский), 3а, Красноярск, 660059;no saits;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-2-1994430.html
no ogrn;no emails;+7 (391) 260-01-05;Детская поликлиника №1;Кутузова, 89а, Красноярск, 660122;no saits;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-1-1994438.html
no ogrn;no emails;+7 (391) 260-79-68;Детская поликлиника №3;Маяковского пер, 21, Красноярск, 660050;no saits;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-3-1994447.html
no ogrn;no emails;+7 (391) 213-14-10;Поликлиника №4, Красноярская межрайонная больница №3;Алёши Тимошенкова, 185, Красноярск, 660052;http://med-registratura.ru;https://www.orgpage.ru/krasnoyarsk/poliklinika-4-krasnoyarskaya-1994338.html
no ogrn;no emails;+7 (391) 234-03-56;Детская поликлиника №1;Солнечный бульвар, 7, Красноярск, 660132;no saits;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-1-1994482.html
no ogrn;no emails;+7 (39144) 67671;Детская поликлиника;Дивногорск, 30 лет Победы, 20, Красноярск, 663090;no saits;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-1994574.html
no ogrn;no emails;+7 (39175) 21287;Детская поликлиника;Берёзовка, Парковая, 11, Красноярск, 662520;no saits;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-1994623.html
no ogrn;no emails;+7 (391) 267-14-49;Поликлиника №1, Красноярский краевой клинический онкологический диспансер им. А.И. Крыжановского;Смоленская 1-я, 16, Красноярск, 660133;http://onkod.krasgmu.ru;https://www.orgpage.ru/krasnoyarsk/poliklinika-1-krasnoyarskiy-1996362.html
no ogrn;no emails;+7 (391) 277-33-55;Поликлиника №2, Сибирский клинический центр, ФГБУЗ ФМБА России;Бограда, 13, Красноярск, 660049;http://skc-fmba.ru;https://www.orgpage.ru/krasnoyarsk/poliklinika-2-sibirskiy-2028925.html
no ogrn;no emails;+7 (391) 277-33-55;Поликлиника №3, Сибирский клинический центр, ФГБУЗ ФМБА России;Академика Вавилова, 29, Красноярск, 660025;http://skc-fmba.ru;https://www.orgpage.ru/krasnoyarsk/poliklinika-3-sibirskiy-2028938.html
no ogrn;no emails;+7 (391) 224-39-50;Городская поликлиника №14, Филиал №2;Весны, 11, Красноярск, 660077;http://gp14.krasgmu.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-poliklinika-14-filial-2028943.html
no ogrn;no emails;+7 (391) 212-63-65;Детская поликлиника №3;Камская, 1, Красноярск, 660048;no saits;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-3-1994522.html
no ogrn;no emails;+7 (391) 277-33-55;Поликлиника №1, Сибирский клинический центр, ФГБУЗ ФМБА России;Коломенская, 26 к2, Красноярск, 660037;http://skc-fmba.ru;https://www.orgpage.ru/krasnoyarsk/poliklinika-1-sibirskiy-2028967.html
no ogrn;no emails;+7 (391) 213-77-00;Городская поликлиника №6;Волжская, 19, Красноярск, 660013;http://kgp6.web-registratura.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-poliklinika-6-2028994.html
no ogrn;no emails;+7 (391) 227-26-74;Поликлиника №1, Красноярская межрайонная поликлиника №5;Мира проспект, 46, Красноярск, 660049;http://веб-регистратура.рф/;https://www.orgpage.ru/krasnoyarsk/poliklinika-1-krasnoyarskaya-2029014.html
no ogrn;no emails;+7 (391) 224-39-50;Городская поликлиника №14;Воронова, 35г, Красноярск, 660005;http://gp14.krasgmu.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-poliklinika-14-2029207.html
no ogrn;no emails;+7 (391) 224-39-50;Городская поликлиника №14, Филиал №4;Металлургов проспект, 1д, Красноярск, 660055;http://gp14.krasgmu.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-poliklinika-14-filial-2029216.html
no ogrn;no emails;+7 (391) 212-11-57;Городская детская поликлиника №1;Марковского, 49/1, Красноярск, 660049;http://www.web-registratura.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029223.html
no ogrn;no emails;+7 (391) 269-08-64;Городская детская поликлиника №2;Судостроительная, 52, Красноярск, 660012;no saits;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029244.html
no ogrn;no emails;+7 (391) 213-84-64;Городская детская поликлиника №4;Краснофлотская 2-я, 22, Красноярск, 660004;http://gdp4.krasgmu.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029312.html
no ogrn;no emails;+7 (391) 243-78-81;Поликлиника;Академика Киренского, 2а, Красноярск, 660074;no saits;https://www.orgpage.ru/krasnoyarsk/poliklinika-krasnoyarskiy-2029323.html
no ogrn;no emails;+7 (39131) 21437;Детская поликлиника;Сосновоборск, Солнечная, 6/2, Красноярск, 662500;no saits;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-g-2029330.html
no ogrn;no emails;+7 (391) 204-05-20;Правобережный центр здоровья детей;Александра Матросова, 7а, Красноярск, 660093;no saits;https://www.orgpage.ru/krasnoyarsk/pravoberezhnyy-tsentr-zdorovya-2029342.html
no ogrn;no emails;+7 (3919) 740821;Детская поликлиника №2;Железногорск, Мира проезд, 25, Красноярск, 662980;no saits;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-2-g-2029345.html
no ogrn;no emails;+7 (391) 236-46-21;Городская детская поликлиника №2;Александра Матросова, 7а, Красноярск, 660093;http://гдп2.рф/;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029380.html
no ogrn;no emails;+7 (391) 234-03-50;Городская детская поликлиника №3;Устиновича, 1а, Красноярск, 660111;http://www.web-registratura.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029399.html
no ogrn;no emails;+7 (391) 227-03-13;Городская детская поликлиника №1;Степана Разина, 35, Красноярск, 660043;http://www.web-registratura.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029411.html
no ogrn;no emails;+7 (3919) 740407;Детская поликлиника №2;Железногорск, 60 лет ВЛКСМ, 42, Красноярск, 662978;no saits;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-2-g-2029421.html
no ogrn;no emails;+7 (391) 261-71-52;Городская детская поликлиника №2;60 лет Октября, 28, Красноярск, 660078;no saits;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029430.html
no ogrn;no emails;+7 (391) 213-41-42;Городская детская поликлиника №2;Алёши Тимошенкова, 165, Красноярск, 660052;no saits;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029463.html
no ogrn;no emails;+7 (391) 264-97-64;Городская детская поликлиника №4;Глинки, 23, Красноярск, 660031;http://gdp4.krasgmu.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029554.html
no ogrn;no emails;+7 (391) 264-87-96;Городская детская поликлиника №4;Одесская, 1, Красноярск, 660067;http://gdp4.krasgmu.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029586.html
no ogrn;no emails;+7 (3919) 343540;Норильская межрайонная детская больница;Богдана Хмельницкого, 18, Норильск, 663305;" http://www.ndgb.ru,http://web-registratura.ru/index.php?open=system/record&amp;step=2&amp;mode=1&amp;cid=370";https://www.orgpage.ru/norilsk/norilskaya-mezhrayonnaya-2367957.html
no ogrn;no emails;+7 (3919) 411095;Детская поликлиника №2;Югославская, 38, Норильск, 663321;no saits;https://www.orgpage.ru/norilsk/detskaya-poliklinika-2-detskaya-2367966.html
no ogrn;no emails;+7 (3919) 344080;Норильская межрайонная поликлиника №1;Талнахская, 76, Норильск, 663318;http://нмп1.рф;https://www.orgpage.ru/norilsk/poliklinika-1-gorodskaya-2370035.html
no ogrn;no emails;+7 (3919) 469084;Норильская межрайонная поликлиника №1;Солнечный проезд, 7а, Норильск, 663302;http://нмп1.рф;https://www.orgpage.ru/norilsk/poliklinika-2-gorodskaya-2370040.html
no ogrn;no emails;+7 (3919) 390838;Норильская городская поликлиника №3, район Кайеркан, Взрослое отделение;Надеждинская, 15, Норильск, 663340;" http://www.msch3.ru,http://web-registratura.ru/index.php?open=system/record&amp;step=2&amp;mode=1&amp;cid=330";https://www.orgpage.ru/norilsk/norilskaya-gorodskaya-2370043.html
no ogrn;no emails;+7 (3919) 372790;Городская поликлиника №2;Маслова, 7, Норильск, 663330;no saits;https://www.orgpage.ru/norilsk/gorodskaya-poliklinika-2-2370048.html
no ogrn;no emails;+7 (3919) 345317;Городская поликлиника №1;Талнахская, 76, Норильск, 663318;no saits;https://www.orgpage.ru/norilsk/gorodskaya-poliklinika-1-2370052.html
no ogrn;no emails;+7 (391) 221-73-28;Городская поликлиника №7;Бограда, 93, Красноярск, 660021;no saits;https://www.orgpage.ru/krasnoyarsk/gorodskaya-poliklinika-7-2029022.html
no ogrn;no emails;+7 (391) 227-45-27;Красноярская межрайонная поликлиника №5;Мира проспект, 46, Красноярск, 660049;no saits;https://www.orgpage.ru/krasnoyarsk/krasnoyarskaya-mezhrayonnaya-2029042.html
no ogrn;no emails;+7 (391) 262-60-41;Красноярская межрайонная поликлиника №1;Академика Павлова, 4 ст7, Красноярск;http://www.pk1.sibmedport.ru;https://www.orgpage.ru/krasnoyarsk/krasnoyarskaya-mezhrayonnaya-2029000.html
no ogrn;no emails;+7 (391) 247-78-72;Городская поликлиника №4;Академика Курчатова, 17 ст5, Красноярск;http://pk4.sibmedport.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-poliklinika-4-2029004.html
